route,label,predicted_category,confidence,description,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00254.jpg,none,none,0.95,"The image displays a clear daytime landscape with dense vegetation and buildings, showing no signs of smoke, flames, or heat haze.",9217.4,908.1,8026.8,1432,538,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00260.jpg,none,none,1.0,"The image shows a clear daytime scene with no visible smoke, flames, or heat haze.",5914.6,908.7,4693.5,1432,314,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00274.jpg,none,none,0.95,No fire or smoke signals detected in the daytime landscape.,7871.3,906.4,6678.6,1432,446,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00280.jpg,none,none,0.95,No fire signals such as smoke or flames are visible in this daytime scene of a vegetated hillside and road.,9241.8,887.8,8068.6,1432,540,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00282.jpg,none,none,0.95,"The image displays a clear daytime view of a vegetated hillside and buildings with no signs of smoke, flames, or heat haze.",9594.2,881.4,8413.5,1432,563,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00286.jpg,none,none,0.95,"No fire signals such as smoke columns, flames, or heat haze are visible in this daytime scene of a vegetated hillside and road.",10968.1,890.8,9765.1,1432,652,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00292.jpg,none,none,0.95,"The image shows a landscape with dense vegetation and buildings, but the bright white areas are identified as lens flare artifacts rather than fire or smoke, and no smoke plumes are visible.",19940.6,880.0,18719.0,1432,1248,66.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00296.jpg,none,none,0.95,"The image displays a clear daytime view of a vegetated area with buildings and a road, showing no signs of smoke, flames, or heat haze.",9275.9,885.0,8124.7,1432,544,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00314.jpg,none,none,0.95,No fire or smoke signals detected; the image shows a sunny day with lens flare obscuring part of the view but no signs of combustion.,10045.1,898.1,8901.7,1432,596,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00318.jpg,none,none,0.95,"No fire signals detected; the image shows a sunny landscape with vegetation and buildings, and the visible haze is consistent with atmospheric conditions or lens glare rather than smoke.",16244.2,893.7,15049.7,1432,1006,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00320.jpg,none,none,0.95,"The image depicts a sunrise or sunset with the sun low on the horizon creating a bright glare, but there are no fire signals or smoke present.",9386.1,422.8,8622.9,1027,580,67.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00325.jpg,none,none,0.95,"The image displays a sunny landscape with significant lens flare and atmospheric haze, but there are no visible smoke columns, flames, or heat distortion indicative of a fire.",9577.6,889.1,8377.7,1432,563,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00328.jpg,none,none,0.95,"The image shows a sunny landscape with significant lens flare and atmospheric haze, but no visible smoke columns, flames, or heat haze indicative of a fire.",9890.2,887.4,8698.2,1432,585,67.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00350.jpg,none,smoke,0.85,"Faint, grayish, vertical plumes are visible rising from the hills, indicating smoke obscuring the vegetation, while bright artifacts appear to be lens flares rather than fire.",17401.3,887.8,16194.7,1432,1082,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00351.jpg,none,none,0.95,"The image displays significant lens flare and glare artifacts from the bright sun, but there are no visible smoke plumes or fire hotspots.",13529.8,880.4,12359.6,1432,827,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00356.jpg,none,none,0.95,"The image displays a cityscape at dusk with various artificial light sources including streetlights and building lights, but no irregular hotspots, smoke plumes, or fire signals are visible.",17430.6,885.9,16255.6,1432,1089,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00357.jpg,none,unknown,0.0,,63868.1,895.1,62582.4,1432,4096,65.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00358.jpg,none,none,0.95,"The image shows a sunny landscape with significant lens flare from the sun, but no smoke columns, flames, or heat haze are visible.",9233.5,898.3,8045.8,1432,538,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00363.jpg,none,none,0.95,"No fire signals such as smoke, flames, or heat haze are visible in this daytime landscape image.",8445.8,892.0,7278.0,1432,487,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00364.jpg,none,none,0.95,No fire signals such as smoke or flames are visible in this clear daylight image of a hilly landscape.,7612.5,882.1,6473.8,1432,431,66.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00369.jpg,none,none,0.95,"The image displays a clear daytime landscape with vegetation and buildings, showing no signs of smoke, flames, or heat haze.",9442.1,886.9,8302.0,1432,555,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00371.jpg,none,none,0.95,"No fire signals such as smoke, flames, or heat haze are visible in this clear daytime landscape.",8018.8,884.1,6826.6,1432,457,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00394.jpg,none,none,0.95,No fire or smoke signals detected in the daytime landscape.,7699.4,890.6,6558.6,1432,437,66.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00395.jpg,none,none,0.95,No fire or smoke signals detected in this daytime landscape image.,7218.9,884.3,6070.1,1432,407,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00403.jpg,none,smoke,0.65,Faint smoke plumes are visible rising from the right side of the horizon against the sunset sky.,14309.2,888.5,13103.6,1432,875,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00415.jpg,none,none,0.95,No fire signals detected; the bright artifacts are lens flare from the sun and atmospheric haze rather than smoke or flames.,12889.0,890.2,11711.6,1432,780,66.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00422.jpg,none,none,0.9,"The image shows a night scene with artificial streetlights and a building wall, but no distinct fire hotspots or smoke plumes are visible.",41072.4,894.7,39855.5,1432,2642,66.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00432.jpg,none,none,0.95,"The image displays a parking lot in the foreground and a hillside in the background that is heavily charred with blackened tree trunks, indicating a past fire event, but there are no active flames, smoke plumes, or heat haze visible in the scene.",24651.3,890.1,23425.2,1432,1555,66.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00441.jpg,none,none,0.95,No fire signals such as smoke or flames are visible in this daytime landscape image.,7022.7,884.6,5860.3,1432,392,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00446.jpg,none,none,0.95,"The image displays a night scene with structured artificial lighting from streetlamps and buildings, showing no evidence of smoke plumes or irregular fire hotspots.",15029.1,891.2,13869.0,1432,924,66.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00457.jpg,none,smoke,0.65,"A faint, diffuse grayish-white smoke plume is visible rising from the ridge line against the blue sky.",23515.9,890.5,22350.8,1432,1491,66.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00460.jpg,none,none,0.95,No fire signals or smoke are visible in this daytime landscape image.,7393.2,889.6,6161.1,1432,413,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00465.jpg,none,unknown,0.0,,63988.6,900.3,62701.0,1432,4096,65.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00472.jpg,none,unknown,0.0,,66050.4,887.9,64366.2,1432,4096,63.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00473.jpg,none,smoke,0.65,"A faint, grayish-white plume of smoke is visible rising above the ridge line in the center of the image.",13462.7,929.2,12155.3,1432,790,65.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00483.jpg,none,smoke,0.85,"A hazy, greyish-white plume is visible in the sky above the hills, indicating smoke presence, though no active flames are detected in this daytime view.",8992.2,910.9,7735.5,1432,505,65.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00488.jpg,none,none,0.95,"The image displays a clear daytime scene of hills and a parking lot with no visible smoke, flames, or heat haze indicators.",10221.7,920.2,8967.0,1432,584,65.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00490.jpg,none,none,0.95,"The image displays a clear daytime scene of dry hills and a parking lot with no visible smoke plumes, flames, or heat haze distortions.",7975.8,916.2,6726.7,1432,439,65.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00494.jpg,none,none,0.95,"The image displays a night-time urban landscape with artificial streetlights and building illumination, but no visible smoke columns, flames, or heat haze indicative of a fire.",10562.0,933.3,9280.8,1432,605,65.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00499.jpg,none,none,0.95,"The image shows a clear daytime landscape with dry hills and a parking lot, with no visible smoke, flames, or heat haze indicating a fire event.",10103.2,927.1,8835.8,1432,575,65.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00502.jpg,none,smoke,0.8,"A faint, diffuse smoke plume is visible rising from the dry hills in the background, obscuring the sky slightly.",12584.4,917.4,11284.9,1432,736,65.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00507.jpg,none,smoke,0.9,Faint smoke plume is visible rising from the hills in the background.,17498.8,931.2,16178.6,1432,1053,65.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00511.jpg,none,none,0.95,"No fire signals such as smoke columns, flames, or heat haze are visible in this daytime landscape image.",10454.0,916.8,9216.3,1432,600,65.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00514.jpg,none,none,0.95,"The image shows a landscape with significant lens flare from the sun, but no visible smoke columns, flames, or heat haze indicative of a fire.",17352.4,920.2,15978.7,1432,1036,64.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00515.jpg,none,none,0.95,"The image displays a clear landscape with dry hills and a parking lot, showing no signs of smoke, flames, or heat haze.",9711.7,931.6,8403.4,1432,548,65.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00516.jpg,none,none,0.95,No fire or smoke is visible in the hilly landscape or parking lot.,8498.4,916.7,7260.4,1432,473,65.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00527.jpg,none,none,0.95,No fire or smoke signals are detected in this daytime landscape image.,7798.2,909.8,6584.5,1432,428,65.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00535.jpg,none,none,0.95,"The image displays a foggy, overcast landscape with wet roads and no visible flames, smoke plumes, or heat haze indicative of a fire.",13057.8,866.7,11931.7,1388,797,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00542.jpg,none,none,1.0,"The image displays a dry, hilly landscape with a parking lot in the foreground, but there are no visible signs of smoke, flames, or heat haze.",9062.3,888.3,7913.9,1432,531,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00543.jpg,none,none,0.95,"No smoke columns, flames, or heat haze are visible in this daytime landscape image.",8796.4,893.4,7645.1,1432,513,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00544.jpg,none,none,0.95,"No active fire flames, hotspots, or distinct smoke plumes are visible in this daytime image of a dry, hilly landscape.",24458.1,895.5,23283.8,1432,1553,66.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00551.jpg,none,none,0.95,No fire signals detected in the hilly landscape and parking lot.,8265.3,897.0,7101.7,1432,477,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00553.jpg,none,none,0.95,No fire signals such as smoke or flames are visible in this daytime landscape image.,7227.5,882.5,6073.4,1432,409,67.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00561.jpg,none,none,0.95,"The image shows a clear daytime view of a hilly landscape with a parking lot in the foreground, with no visible smoke columns, flames, or heat haze indicating a fire event.",11575.4,905.3,10379.6,1432,695,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00569.jpg,none,none,0.95,"The image displays a clear landscape with dry hills and a parking lot, showing no signs of smoke, flames, or heat haze.",7812.4,886.7,6667.6,1432,447,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00577.jpg,none,none,0.95,"The image shows a foggy or rainy landscape with vehicle lights visible in the foreground, but no smoke columns, flames, or heat haze are present.",10537.4,893.7,9373.3,1432,628,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00580.jpg,none,none,0.95,No smoke or fire signals are visible in this clear daytime landscape image.,8616.3,881.4,7452.9,1432,500,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00581.jpg,none,none,0.95,"No fire signals such as smoke columns, flames, or heat haze are visible in this daytime landscape image.",9079.3,895.3,7909.6,1432,531,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00588.jpg,none,none,0.95,"The image displays a clear landscape with dry hills and a parking lot, showing no signs of smoke, flames, or heat haze.",8398.6,882.9,7225.9,1432,485,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00591.jpg,none,none,0.95,No smoke or fire signals are visible in this daytime landscape image.,10265.0,884.9,9054.4,1432,607,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00598.jpg,none,none,0.95,No smoke or flames are visible in the clear daylight image of the hilly landscape and parking lot.,9642.2,879.2,8473.7,1432,568,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00606.jpg,none,none,0.95,"The image shows a dry, hilly landscape with a parking lot in the foreground, but there are no visible flames, smoke columns, or heat haze indicating an active fire.",11114.4,914.6,9890.7,1432,662,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00608.jpg,none,none,0.95,"The image displays a clear daytime landscape with hills and a parking lot, showing no signs of smoke, flames, or heat haze.",7598.8,894.8,6394.9,1432,429,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00625.jpg,none,none,0.95,"The image displays a cloudy, low-light scene with vehicle lights and lens artifacts, but lacks distinct smoke plumes or fire hotspots.",12360.5,888.3,11189.0,1432,750,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00629.jpg,none,none,0.95,"The image displays a clear landscape with dry vegetation and a parking lot, showing no signs of smoke, flames, or heat haze.",8219.5,879.9,7055.8,1432,474,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00631.jpg,none,none,0.95,"No fire signals such as smoke columns, flames, or heat haze are visible in this clear daytime landscape.",8673.4,891.0,7516.5,1432,505,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00632.jpg,none,none,0.95,"The image displays a low-quality view of a parking lot and hills with red car taillights visible, but no distinct fire hotspots or smoke plumes are present, with the central blur likely being a lens reflection.",27427.8,884.2,26250.2,1432,1747,66.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00642.jpg,none,none,0.95,No fire signals or smoke detected; the image shows a normal night scene with artificial city lights and clear skies.,9876.5,894.7,8663.6,1432,579,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00656.jpg,none,none,0.95,"The image displays a clear daytime scene of dry hills and a parking lot with no visible smoke plumes, flames, or heat haze indicators.",9201.7,898.6,8010.8,1432,536,66.9
