route,label,predicted_category,confidence,description,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00415.jpg,none,none,0.8,"No visible fire signals such as smoke columns, flames or heat haze observed in the image.",9753.9,201.9,8182.5,859,464,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00422.jpg,none,both,0.75,"Bright glowing spots near a structure suggest fire, with surrounding haze indicating possible smoke.",8441.0,199.8,7577.2,859,402,53.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00432.jpg,none,none,0.95,No visible fire signals such as smoke plumes or bright glowing spots detected; nighttime conditions and artificial lighting obscure potential indicators.,11120.2,196.4,10424.4,859,556,53.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00441.jpg,none,none,0.95,No visible signs of fire or smoke; image shows clear skies and normal landscape features.,8574.9,197.9,7966.8,859,426,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00446.jpg,none,fire,0.85,Bright white/yellow glowing spots indicative of fire hotspots are visible amidst urban lighting.,5966.9,197.1,5446.3,859,292,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00457.jpg,none,none,0.95,No signs of fire or smoke detected in daylight conditions with clear visibility.,7204.1,197.2,6636.0,859,356,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00460.jpg,none,none,0.95,No visible flames or significant smoke detected; bright spots are likely artificial lights.,6645.3,196.4,6115.7,859,328,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00465.jpg,none,none,0.95,"No visible fire signals such as smoke columns, flames, or heat haze detected in the daytime parking lot and surrounding landscape.",7851.0,197.8,7268.8,859,390,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00472.jpg,none,none,0.95,No visible smoke or flames detected; landscape appears charred but lacks signs of active burning.,7814.2,197.2,7243.5,859,388,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00473.jpg,none,none,0.95,"No distinct fire indicators such as bright spots, irregular glowing areas, or abnormal smoke plumes are observed in the image.",8797.1,197.4,8191.0,859,439,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00483.jpg,none,none,0.95,"No visible flames, hotspots, or smoke detected; the scene appears calm and clear.",8923.9,197.2,8311.3,859,445,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00488.jpg,none,none,0.95,"No signs of active flames, hotspots, or smoke detected in daylight conditions.",6957.2,197.4,6410.9,859,344,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00490.jpg,none,none,0.95,No detectable smoke columns or flames present; scene appears normal with no abnormal glowing spots.,8332.1,196.6,7734.5,859,415,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00494.jpg,none,none,0.95,No visible fire signals or smoke detected; image shows nighttime cityscape with artificial lighting.,10840.1,197.1,10147.6,859,544,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00499.jpg,none,none,0.95,"No visible fire signals such as smoke columns, flames, or heat haze detected; landscape appears calm and clear.",5462.8,198.1,4969.5,859,267,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00502.jpg,none,none,0.95,No visible fire signals such as flames or smoke detected in the landscape.,7359.3,197.1,6803.3,859,365,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00507.jpg,none,none,0.95,"No visible signs of fire such as flames, hotspots, or smoke plumes detected.",11070.1,197.7,10393.7,859,556,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00511.jpg,none,none,0.95,"No fire signals detected; clear daytime landscape without smoke, flames, or hotspots.",8390.1,196.8,7787.4,859,418,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00514.jpg,none,fire,0.85,Bright overexposed spot near buildings suggests a potential fire hotspot.,7750.7,196.4,7180.8,859,385,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00515.jpg,none,none,0.95,"No visible fire signals such as flames, hotspots, or smoke detected in the scene.",10627.6,197.5,9958.0,859,533,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00516.jpg,none,none,0.95,The image shows a daytime scene with clear skies and vegetation; there are no visible signs of smoke columns or bright fire hotspots.,10249.5,198.5,9590.9,859,514,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00527.jpg,none,none,0.95,No signs of fire activity detected in the image.,12586.8,197.3,11854.9,859,634,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00535.jpg,none,none,0.95,No visible flames or smoke columns detected; haze may indicate pollution but lacks fire-specific indicators.,5722.8,197.5,5236.0,859,281,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00542.jpg,none,none,0.95,"No fire signals detected; clear daytime landscape with no visible flames, smoke plumes, or heat haze.",9171.2,196.4,8530.1,859,456,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00543.jpg,none,none,0.95,"The image depicts an outdoor scene with artificial lights on the ground level, surrounded by greenery and hills under clear skies—no visible signs of fire (flames/hotspots) or smoke detected.",10782.1,196.6,10057.4,859,538,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00544.jpg,none,none,0.95,No visible fire signals detected in the image.,9595.1,197.2,8955.3,859,478,53.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00551.jpg,none,none,0.95,"No visible fire signals such as smoke, flames or heat haze detected in this daytime image.",6020.0,198.4,5496.1,859,295,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00553.jpg,none,none,0.95,No visible fire signals such as smoke or flames detected in this daytime outdoor scene with clear skies and normal lighting conditions.,7803.8,197.5,7222.2,859,387,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00561.jpg,none,none,0.95,No visible fire or smoke detected in this daytime landscape image.,7184.4,197.6,6627.7,859,354,53.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00569.jpg,none,none,0.95,"No evidence of visible flames, hotspots, or abnormal smoke patterns detected in the image.",9869.4,197.9,9187.1,859,491,53.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00577.jpg,none,none,0.95,No detectable fire or smoke signals observed in this low-quality night-time image.,9279.3,199.2,8615.6,859,460,53.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00580.jpg,none,smoke,0.6,Hazy areas near the hillside suggest potential smoke presence.,10374.3,198.7,9631.3,859,515,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00581.jpg,none,none,0.95,"No visible flames, hotspots, or significant smoke detected; landscape appears clear under daylight conditions.",5782.9,197.1,5252.1,859,281,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00588.jpg,none,none,0.95,No visible flames or smoke detected; image shows clear daylight conditions with parked vehicles and vegetation.,9372.7,196.7,8689.6,859,465,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00591.jpg,none,none,0.95,No fire signals detected; clear skies and absence of smoke columns or bright hotspots.,7149.8,196.0,6578.4,859,352,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00598.jpg,none,none,0.95,"No visible fire signals such as smoke columns, flames, or heat haze detected in the image.",7062.2,196.3,6469.7,859,347,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00606.jpg,none,none,0.95,"No visible smoke columns, flames, or heat haze detected.",10311.9,197.4,9534.4,859,513,53.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00608.jpg,none,none,0.95,"No visible signs of smoke columns, flames, or heat haze detected.",6097.6,198.1,5549.5,859,297,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00625.jpg,none,both,0.85,Multiple bright white/yellow glowing spots (hotspots) surrounded by grayish haze indicative of fire activity.,8404.4,198.9,7755.4,859,415,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00629.jpg,none,none,0.95,"No smoke columns, flames, or heat haze detected in a clear daytime landscape.",5391.4,197.3,4881.3,859,261,53.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00631.jpg,none,none,0.9,"No visible fire hotspots, flames, or significant smoke detected in the image.",9553.3,196.3,8892.0,859,474,53.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00632.jpg,none,both,0.85,Bright overexposed spot in the center likely indicates fire with potential hazy background suggesting smoke.,11504.7,198.3,10768.7,859,574,53.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00642.jpg,none,smoke,0.6,"Potential distant haze suggesting smoke, though no clear fire sources are visible.",15297.6,197.3,14224.0,859,764,53.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00656.jpg,none,none,0.95,No visible fire signals or smoke observed in the image.,10369.0,198.4,9603.4,859,515,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00659.jpg,none,none,0.95,"No visible flames, hotspots, or smoke detected; the area appears calm with no fire-related activity.",11442.9,195.8,10693.6,859,570,53.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00672.jpg,none,none,0.85,The image shows a foggy nighttime scene with no clear evidence of fire hotspots (bright overexposed blobs) or distinct smoke plumes; bright points may be artificial lights.,10388.6,197.9,9683.3,859,517,53.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00678.jpg,none,none,0.95,No clear signs of fire activity such as smoke columns or flame indicators are visible in the provided photo.,7820.7,197.3,7176.9,859,386,53.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00695.jpg,none,none,0.95,No visible fire signals detected; image shows urban area under clear daylight conditions.,9436.0,197.4,8746.1,859,469,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00700.jpg,none,none,0.95,"The image shows nighttime parking with artificial lighting; no fire spots, smoke plumes, or heat haze detected.",8513.9,197.9,7872.0,859,422,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00701.jpg,none,none,0.95,"The image shows a daytime landscape without signs of active fires, flames, or smoke.",6462.6,197.8,5914.8,859,317,53.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00707.jpg,none,none,0.95,No visible fire signals or smoke detected in this image.,6318.7,197.3,5731.4,859,309,53.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00708.jpg,none,none,0.95,No visible fire signals such as flames or smoke detected in the image.,8158.2,196.6,7438.2,859,403,54.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00723.jpg,none,none,0.95,No visible fire signals or smoke detected; scene appears calm with no abnormal bright spots or haze.,10942.1,198.1,10224.8,859,547,53.5
