ruta,etiqueta,categoria_predicha,confianza,descripcion,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00054.jpg,none,none,0.85,,18664.9,715.3,17566.6,1025,1127,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00057.jpg,none,none,0.96,"La imagen muestra un fuerte resplandor solar y lentes (lens flare) verticales causados por el sol brillante detrás de la cámara, pero no hay puntos calientes irregulares ni humo oscuro característico de un incendio.",19791.5,752.6,18654.7,1025,1200,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00062.jpg,none,ERROR,0.0,,49305.0,752.2,48170.0,1025,3071,63.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00063.jpg,none,none,0.92,La imagen muestra una zona con colinas quemadas y un estacionamiento lleno de coches bajo un cielo nublado; no se observan llamas activas ni columnas de humo distintivas que puedan diferenciarse claramente de las nubes meteorológicas.,39571.7,732.2,38431.2,1025,2448,63.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00066.jpg,none,ERROR,0.0,,49664.3,701.4,48561.4,1011,3085,63.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00076.jpg,none,none,0.95,"La imagen muestra un estacionamiento y colinas con fuerte resplandor solar que causa lentes (lens flare), pero no hay evidencia de humo ni llamas.",10133.8,733.7,8996.0,1011,577,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00077.jpg,none,none,0.95,La imagen muestra un paisaje soleado con fuertes rayos de sol (lente) y brillo en la cámara que crean estelas verticales brillantes; no hay signos de fuego ni humo ascendiendo desde el suelo o las colinas.,12689.0,711.9,11596.9,1011,746,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00101.jpg,none,ERROR,0.0,,49733.1,715.3,48632.5,1011,3085,63.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00106.jpg,none,none,0.95,No se observan llamas ni columnas de humo genuinas; las manchas oscuras en el cielo superior parecen ser suciedad o artefactos del lente de la cámara.,19509.0,1247.4,17827.9,1595,1147,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00115.jpg,none,none,0.96,Se observa una escena diurna clara con vegetación densa e infraestructura urbana al fondo; no hay puntos de luz anómalos ni penachos de humo visibles que indiquen un incendio.,13793.3,1260.2,12112.2,1595,780,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00121.jpg,none,none,0.95,No se detectan signos de fuego ni humo; la imagen muestra un paisaje natural con vegetación y edificios bajo condiciones atmosféricas que parecen ser niebla o bruma matutina normal.,12614.4,1260.4,10936.7,1595,705,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00122.jpg,none,humo,0.92,Se observa una columna de humo grisáceo ascendiendo desde la ladera izquierda cerca de las torres de comunicacion.,19325.5,1266.4,17648.9,1595,1136,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00138.jpg,none,none,0.92,"La imagen muestra una escena nocturna con luces artificiales distantes y farolas en primer plano, sin detección de llamas ni humo.",15477.2,1256.2,13808.8,1595,884,64.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00142.jpg,none,none,0.98,No se observan signos de fuego o humo; la escena muestra vegetación y edificios bajo condiciones diurnas normales sin anomalías térmicas.,10809.1,1244.1,9133.5,1595,591,64.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00143.jpg,none,none,0.95,No se detectan signos de fuego ni humo; la imagen muestra un paisaje diurno con vegetación y edificios bajo condiciones normales sin anomalías térmicas.,10005.0,1234.7,8344.5,1595,536,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00153.jpg,none,none,0.98,"La imagen muestra un paisaje diurno con vegetación densa y edificios en el fondo sin ninguna evidencia de columnas de humo, llamas o distorsión térmica.",12797.4,1242.5,11119.9,1595,713,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00159.jpg,none,none,0.98,No se observan columnas de humo ni focos de fuego; el cielo está despejado con nubes naturales y la vegetación en las colinas parece intacta.,10083.2,1251.1,8402.5,1595,542,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00163.jpg,none,none,0.85,"La imagen es extremadamente oscura y de baja calidad; las fuentes de luz visibles son farolas regulares en el suelo y posibles luces lejanas o neblina atmosférica en el horizonte, sin evidencia clara de llamas ni nubes de humo distintivas.",23937.8,1263.1,22267.1,1595,1427,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00169.jpg,none,none,0.95,No hay evidencia de fuego ni humo; la imagen está dominada por un intenso resplandor solar y lentes que crean artefactos visuales verticales brillantes en lugar de llamas o columnas de humo.,12431.8,704.2,11332.1,1011,731,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00184.jpg,none,none,0.98,"La imagen muestra un paisaje nocturno o al amanecer con luces artificiales distantes y farolas, pero no presenta manchas de fuego sobreexpuestas ni penachos de humo difusos.",10759.5,1262.7,9089.6,1595,584,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00185.jpg,none,ERROR,0.0,,49789.5,697.9,48704.7,1011,3085,63.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00187.jpg,none,none,0.98,"La imagen muestra un paisaje de colinas en la madrugada con luces artificiales estables visibles en la cima y a lo largo del borde inferior, sin evidencia de llamas o humo.",10422.8,1257.6,8742.1,1595,562,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00189.jpg,none,none,0.95,La imagen muestra un paisaje nocturno o al amanecer con iluminación de farolas artificiales estructuradas y sin evidencia de llamas brillantes ni penachos de humo.,11966.6,1268.5,10284.7,1595,660,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00191.jpg,none,none,0.95,La imagen muestra un paisaje nocturno oscuro con algunas luces distantes en el horizonte y vegetación baja en primer plano; no se observan columnas de humo ni focos brillantes irregulares que indiquen fuego.,12595.6,1268.6,10927.5,1595,703,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00192.jpg,none,none,0.98,"La imagen muestra una escena nocturna oscura con luces artificiales de farolas y puntos distantes en el horizonte que parecen ser iluminación urbana normal, sin signos de llamas irregulares ni humo anómalo.",15683.5,1260.2,14016.3,1595,898,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00204.jpg,none,none,0.95,No se detectan signos de fuego ni humo; las luces brillantes visibles corresponden a farolas y edificaciones en la distancia bajo condiciones nocturnas.,12315.1,1240.4,10667.6,1595,689,64.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00212.jpg,none,none,0.95,La imagen muestra una escena nocturna con iluminación artificial de farolas y edificios; no hay puntos calientes irregulares ni penachos de humo asociados a un incendio.,16523.1,1267.5,14832.5,1595,952,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00229.jpg,none,none,0.98,La imagen muestra un paisaje diurno con vegetación y edificios bajo luz solar directa; no hay llamas visibles ni columnas de humo distintivas que indiquen un incendio activo.,17080.3,719.0,15958.3,1025,1029,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00233.jpg,none,none,0.95,La imagen muestra un paisaje nocturno o al amanecer con luces artificiales distantes en la cima de una colina que parecen ser estructuras habitacionales y no focos de fuego; no se observan columnas de humo ni zonas sobreexpuestas indicativas de combustión.,15280.1,1259.5,13605.1,1595,872,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00237.jpg,none,none,0.95,La imagen muestra un paisaje oscuro al amanecer con farolas encendidas en la parte inferior; no se observan puntos de fuego irregulares ni penachos de humo.,13503.6,1252.7,11830.6,1595,760,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00242.jpg,none,none,0.95,"La imagen muestra un paisaje con vegetación y edificios bajo luz solar directa con reflejos de lente (lens flare), pero no hay evidencia visual de llamas ni columnas de humo.",9004.2,1248.4,7328.1,1595,472,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00245.jpg,none,none,0.98,No se observan llamas ni columnas de humo en la vegetación densa o cerca de las estructuras; el entorno parece normal bajo luz diurna.,12057.3,1238.1,10383.7,1595,668,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00254.jpg,none,none,0.95,La imagen muestra un paisaje diurno con vegetación y edificios sin ninguna evidencia de llamas o columnas de humo.,9092.9,1255.6,7396.5,1595,479,64.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00260.jpg,none,none,0.98,No se observan columnas de humo ni focos de fuego en la vegetación densa o cerca de las estructuras.,13379.8,1245.7,11699.8,1595,754,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00274.jpg,none,none,0.98,La imagen muestra un paisaje con densa vegetación y una carretera bajo luz diurna clara; no se observan columnas de humo ni focos de fuego en ninguna parte del encuadre.,16749.2,1238.1,15061.4,1595,963,63.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00280.jpg,none,none,0.98,"La imagen muestra un paisaje diurno con vegetación y edificios sin evidencia visual de humo, llamas ni puntos calientes anómalos.",11630.6,1256.5,9928.4,1595,640,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00282.jpg,none,none,0.95,La imagen muestra un paisaje con vegetación densa y algunas estructuras sin evidencia visual de fuego o humo.,10374.1,1231.4,8700.3,1595,558,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00286.jpg,none,none,0.98,"La escena presenta vegetación densa y estructuras en un entorno diurno claro, sin detección de columnas de humo grisáceo ni puntos calientes brillantes que indiquen fuego.",12242.0,1242.8,10559.6,1595,677,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00292.jpg,none,none,0.95,No se detectan signos de fuego ni humo; la imagen muestra vegetación y edificios con artefactos de lente (reflejos) pero sin combustión.,11378.9,1252.6,9697.6,1595,622,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00296.jpg,none,none,0.98,"La imagen muestra un paisaje natural con vegetación densa y edificios en el fondo bajo luz diurna normal; no se observan columnas de humo, llamas ni distorsión térmica.",12008.3,1251.3,10315.6,1595,666,64.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00314.jpg,none,none,0.98,La imagen muestra un paisaje urbano y natural bajo luz solar intensa sin evidencia de fuego o humo; las distorsiones brillantes son reflejos del sol.,11561.6,1248.8,9896.9,1595,639,64.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00318.jpg,none,none,0.95,La imagen muestra un paisaje diurno con vegetación y edificios bajo luz solar intensa; no se observan columnas de humo ni puntos calientes anómalos.,15231.8,1251.6,13546.4,1595,869,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00320.jpg,none,none,0.98,No se detectan llamas ni humo; la fuente brillante en el horizonte es claramente el sol y no un incendio.,9381.1,827.1,8146.0,1150,524,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00325.jpg,none,none,0.95,"La imagen muestra una escena diurna con fuerte resplandor solar y aberración cromática (lente), pero no hay evidencia de llamas ni columnas de humo.",11329.5,1252.3,9659.3,1595,618,64.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00328.jpg,none,none,0.95,No se detectan llamas ni columnas de humo; la imagen muestra un paisaje con vegetación y edificios bajo luz solar intensa que causa reflejos en la lente.,11725.0,1236.9,10068.9,1595,650,64.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00350.jpg,none,none,0.9,No se detectan llamas ni humo; las distorsiones visuales parecen ser reflejos de lente o brillo solar en lugar de actividad de incendio.,13041.9,1273.5,11355.1,1595,728,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00351.jpg,none,none,0.92,No se detectan llamas ni columnas de humo activas; las distorsiones verticales y el brillo en la imagen son consistentes con reflejos del sol (lens flare) sobre una lente sucia o expuesta a luz directa.,28554.3,1242.2,26895.2,1595,1710,63.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00356.jpg,none,none,0.95,No se detectan signos de fuego ni humo; las luces brillantes corresponden a farolas y edificios urbanos normales en un entorno nocturno.,15456.1,1256.1,13772.3,1595,887,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00357.jpg,none,none,0.98,No se detectan columnas de humo ni llamas; el brillo intenso en la parte superior es un reflejo solar o aberración óptica y no una fuente de fuego.,12528.0,1247.8,10848.0,1595,702,64.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00358.jpg,none,none,0.95,"No se detectan signos de fuego ni humo; la imagen muestra un paisaje soleado con destellos de lente y reflejos en edificios distantes, pero sin indicios de combustión.",10241.8,1249.8,8570.6,1595,553,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00363.jpg,none,none,0.98,No se detectan columnas de humo ni focos de fuego; la imagen muestra un paisaje diurno normal con vegetación y edificios bajo luz solar.,9381.2,1226.4,7725.4,1595,496,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00364.jpg,none,none,0.98,La imagen muestra un paisaje diurno con vegetación y edificios bajo un cielo azul con nubes normales; no se observan columnas de humo ni focos de fuego.,10360.6,1229.2,8695.1,1595,561,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00369.jpg,none,none,0.95,No se detectan columnas de humo ni focos de fuego en la imagen; el paisaje muestra vegetación y edificios bajo un cielo claro.,10416.2,1242.3,8747.6,1595,564,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00371.jpg,none,none,0.95,No se detectan columnas de humo ni llamas; la escena muestra vegetación y edificios bajo condiciones atmosféricas normales con luz solar directa.,19829.4,1230.9,18167.7,1595,1165,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00394.jpg,none,none,0.95,No se detectan señales de fuego ni humo; la imagen muestra un paisaje soleado con reflejos ópticos (lens flare) que no indican combustión.,11615.1,1251.6,9935.7,1595,639,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00395.jpg,none,none,0.95,No se observan ni llamas brillantes ni penachos de humo en la vegetación o el horizonte; las nubes visibles son formaciones atmosféricas normales y no hay fuentes de calor anómalas.,12359.3,1258.1,10675.9,1595,684,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00403.jpg,none,humo,0.65,Se observan penachos verticales difuminados y grisáceos en el horizonte superior derecho que sugieren columnas de humo a distancia contra un cielo anaranjado.,29740.5,1261.6,28065.7,1595,1792,63.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00415.jpg,none,none,0.95,No se detectan llamas ni columnas de humo; la imagen muestra un paisaje soleado con destellos de lente y vegetación normal.,8075.7,1233.5,6406.1,1595,413,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00422.jpg,none,none,0.75,"La imagen presenta luces lineales y borrosas consistentes con el movimiento de vehículos o iluminación lejana en un entorno nocturno, sin detectar manchas irregulares brillantes (fuego) ni penachos de humo ascendente claros.",23548.9,1259.2,21874.5,1595,1404,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00432.jpg,none,ERROR,0.0,,40997.7,1256.6,39307.9,1595,2501,63.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00441.jpg,none,none,0.95,La imagen muestra un paisaje de colinas secas y estacionamiento bajo luz diurna clara sin evidencia de llamas ni columnas de humo.,8988.7,1260.8,7289.1,1595,470,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00446.jpg,none,none,0.98,,12799.6,1259.3,11121.0,1595,714,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00457.jpg,none,none,0.95,No se detectan llamas ni columnas de humo visibles; el paisaje muestra vegetación seca bajo un cielo claro sin indicios activos de incendio.,12320.4,1271.4,10628.4,1595,684,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00460.jpg,none,none,0.95,La imagen muestra un paisaje diurno con vegetación seca y colinas bajo un cielo despejado; no se observan columnas de humo ni focos de fuego brillantes.,13538.3,1224.1,11889.1,1595,767,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00465.jpg,none,none,0.98,La imagen muestra un paisaje de colinas con vegetación seca y un estacionamiento en primer plano bajo condiciones diurnas claras; no se observan llamas ni columnas de humo distintivas que indiquen una actividad de incendio activa.,12122.6,1249.9,10450.7,1595,674,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00472.jpg,none,none,0.95,"La imagen muestra un paisaje de colinas con árboles carbonizados y quemados, indicando que ha habido fuego recientemente o en el pasado inmediato, pero no se observan llamas activas ni columnas densas de humo ascendiendo al cielo; la atmósfera parece nublada más que llena de humo activo.",35295.5,1265.6,33602.3,1595,2137,63.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00473.jpg,none,none,0.95,No se observan llamas ni columnas de humo visibles en la imagen; el cielo está despejado y no hay signos de combustión activa.,12496.5,1259.0,10796.4,1595,693,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00483.jpg,none,humo,0.68,Se detecta una mancha difusa y grisácea en la línea del horizonte sobre las colinas que sugiere un penacho de humo a distancia.,28756.4,1270.5,27065.7,1595,1722,63.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00488.jpg,none,none,0.92,La imagen muestra un paisaje con colinas secas y un estacionamiento bajo cielo despejado; no se observan columnas de humo ni focos de fuego activos.,21044.1,1262.3,19353.8,1595,1237,63.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00490.jpg,none,none,0.95,La imagen muestra un paisaje de colinas secas y estacionamiento bajo luz diurna clara sin evidencia de llamas ni columnas de humo densa o distintiva.,23087.4,1245.1,21407.3,1595,1367,63.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00494.jpg,none,none,0.95,"La imagen muestra una vista nocturna de un paisaje urbano con luces artificiales estructuradas y nubes naturales en el horizonte, sin evidencia de llamas o humo.",8993.6,1252.4,7315.8,1595,473,64.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00499.jpg,none,none,0.98,La imagen muestra un paisaje con colinas y un estacionamiento bajo luz diurna clara; no hay evidencia de humo grisáceo ni puntos calientes brillantes que indiquen fuego.,10282.4,1250.5,8608.3,1595,555,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00502.jpg,none,humo,0.65,"Se detecta una tenue columna de humo grisácea ascendiendo desde la cresta del cerro en el fondo, distinguible contra el cielo azul.",16216.9,1255.6,14539.0,1595,934,64.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00507.jpg,none,none,0.95,La imagen muestra un paisaje de colinas secas y estacionamiento sin evidencia visible de llamas activas ni columnas de humo distintivas; la bruma lejana parece ser atmosférica.,29996.1,1233.9,28333.6,1595,1809,63.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00511.jpg,none,none,0.95,No se observan llamas ni columnas de humo en el paisaje o cielo; la escena muestra un terreno seco bajo un cielo claro.,11823.0,1230.3,10159.1,1595,650,64.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00514.jpg,none,none,0.95,No se observan columnas de humo ni focos de fuego; las manchas brillantes en el lado izquierdo son reflejos ópticos del sol (lens flare) y no fuentes de calor.,12751.3,1262.0,11070.9,1595,712,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00515.jpg,none,none,0.95,No se observan columnas de humo ni focos de fuego activos en las colinas secas o el estacionamiento; la escena muestra condiciones diurnas normales sin distorsión térmica.,12611.9,1229.1,10956.5,1595,701,64.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00516.jpg,none,ERROR,0.0,,41355.7,1256.0,39667.2,1595,2501,63.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00527.jpg,none,none,0.95,No se detectan llamas ni columnas de humo; el paisaje muestra vegetación seca bajo condiciones diurnas normales sin signos de combustión activa.,18968.0,1226.1,17304.4,1595,1108,64.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00535.jpg,none,none,0.95,"La imagen muestra un paisaje con vegetación y edificios bajo condiciones de niebla o lluvia densa, sin evidencia visual de columnas de humo ni focos de fuego.",20312.7,1148.0,18743.9,1511,1201,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00542.jpg,none,none,0.95,La imagen muestra un paisaje de colinas secas con estacionamiento en primer plano; no se observan llamas ni columnas de humo ascendente.,11565.1,1270.4,9863.8,1595,636,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00543.jpg,none,humo,0.65,"Se observa una columna de humo grisácea ascendente desde la ladera central del fondo, indicando un incendio activo en las colinas a distancia.",14162.1,1262.5,12474.6,1595,800,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00544.jpg,none,ERROR,0.0,,41073.1,1256.1,39389.4,1595,2501,63.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00551.jpg,none,none,0.92,La imagen muestra un paisaje de colinas secas y un estacionamiento sin evidencia visible de llamas activas ni columnas de humo ascendente desde la vegetación.,18246.6,1240.9,16564.5,1595,1061,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00553.jpg,none,none,0.98,No se detectan columnas de humo ni focos de calor en el paisaje; las nubes visibles son formaciones atmosféricas normales y no penachos de humo.,10625.1,1255.9,8939.1,1595,576,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00561.jpg,none,none,0.95,No se observan llamas ni columnas de humo; el paisaje muestra un día soleado con vegetación seca pero sin signos activos de incendio.,10526.8,1254.4,8844.6,1595,569,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00569.jpg,none,none,0.95,"La imagen muestra un paisaje de colinas secas y un estacionamiento sin evidencia visual de humo, llamas o distorsión térmica; el cielo está despejado.",11420.9,1230.2,9769.4,1595,630,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00577.jpg,none,none,0.85,La imagen muestra un paisaje con nubes bajas o niebla que oscurecen la visibilidad en las montañas y luces de vehículos estacionados; no hay evidencia clara de llamas ni humo proveniente de una fuente específica.,29681.1,1227.5,28042.2,1595,1790,63.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00580.jpg,none,none,0.95,No se detectan columnas de humo ni focos de fuego; el cielo está despejado y la vegetación en las colinas parece seca pero sin signos activos de combustión.,10918.7,1254.0,9215.4,1595,592,64.2
