route,label,predicted_category,confidence,description,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00062.jpg,none,none,0.0,No fire signals detected in the image.,807.2,259.4,394.7,1201,47,119.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00063.jpg,none,none,0.0,No fire signals detected in the image.,804.7,255.3,384.2,1201,47,122.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00066.jpg,none,none,0.0,No fire signals detected in the image.,797.9,262.4,393.6,1201,47,119.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00076.jpg,none,none,0.0,No fire signals detected in the image.,803.2,259.1,403.4,1201,47,116.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00077.jpg,none,none,0.0,No fire signals detected in the image.,800.6,263.9,380.7,1201,47,123.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00101.jpg,none,none,0.0,No fire signals detected in the image.,808.9,267.9,412.9,1201,47,113.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00106.jpg,none,none,0.0,No fire signals detected in the image.,813.0,265.8,396.3,1201,47,118.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00115.jpg,none,none,0.0,No fire signals detected in the image.,809.2,259.8,382.9,1201,47,122.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00121.jpg,none,none,0.0,No fire signals detected in the image.,814.0,264.9,408.9,1201,47,114.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00122.jpg,none,none,0.0,No fire signals detected in the image.,811.7,265.8,393.0,1201,47,119.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00138.jpg,none,none,0.0,No fire signals detected in the image.,805.8,265.1,418.3,1201,47,112.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00142.jpg,none,none,0.0,No fire signals detected in the image.,818.4,265.0,397.8,1201,47,118.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00143.jpg,none,none,0.0,No fire signals detected in the image.,815.2,264.2,380.6,1201,47,123.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00153.jpg,none,none,0.0,No fire signals detected in the image.,818.1,259.8,388.7,1201,47,120.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00159.jpg,none,none,0.0,No fire signals detected in the image.,810.4,265.4,401.8,1201,47,117.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00163.jpg,none,none,0.0,No fire signals detected in the image.,814.5,266.5,313.3,1201,47,150.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00169.jpg,none,none,0.0,No fire signals detected in the image.,803.6,257.5,341.9,1201,47,137.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00184.jpg,none,none,0.0,No fire signals detected in the image.,812.6,268.0,372.9,1201,47,126.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00185.jpg,none,none,0.0,No fire signals detected in the image.,805.8,267.1,401.6,1201,47,117.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00187.jpg,none,none,0.0,No fire signals detected in the image.,808.9,265.8,350.7,1201,47,134.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00189.jpg,none,none,0.0,No fire signals detected in the image.,812.3,266.4,357.3,1201,47,131.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00191.jpg,none,none,0.0,No fire signals detected in the image.,811.2,259.4,362.9,1201,47,129.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00192.jpg,none,none,0.0,No fire signals detected in the image.,808.6,266.6,368.7,1201,47,127.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00204.jpg,none,none,0.0,No fire signals detected in the image.,808.0,267.3,382.9,1201,47,122.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00212.jpg,none,none,0.0,No fire signals detected in the image.,809.1,264.6,362.6,1201,47,129.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00229.jpg,none,none,0.0,No fire signals detected in the image.,806.2,261.1,359.5,1201,47,130.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00233.jpg,none,none,0.0,No fire signals detected in the image.,807.7,266.0,415.3,1201,47,113.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00237.jpg,none,none,0.0,No fire signals detected in the image.,812.3,267.4,402.1,1201,47,116.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00242.jpg,none,none,0.0,No fire signals detected in the image.,816.7,268.5,351.5,1201,47,133.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00245.jpg,none,none,0.0,No fire signals detected in the image.,822.1,264.4,347.5,1201,47,135.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00254.jpg,none,none,0.0,No fire signals detected in the image.,825.0,261.7,370.3,1201,47,126.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00260.jpg,none,none,0.0,No fire signals detected in the image.,820.9,266.6,380.1,1201,47,123.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00274.jpg,none,none,0.0,No fire signals detected in the image.,820.2,263.4,393.1,1201,47,119.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00280.jpg,none,none,0.0,No fire signals detected in the image.,821.5,265.0,355.2,1201,47,132.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00282.jpg,none,none,0.0,No fire signals detected in the image.,840.3,266.9,370.0,1201,47,127.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00286.jpg,none,none,0.0,No fire signals detected in the image.,822.1,261.1,377.2,1201,47,124.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00292.jpg,none,none,0.0,No fire signals detected in the image.,810.4,267.0,394.1,1201,47,119.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00296.jpg,none,none,0.0,No fire signals detected in the image.,826.9,265.9,405.9,1201,47,115.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00314.jpg,none,none,0.0,No fire signals detected in the image.,811.4,261.7,409.9,1201,47,114.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00318.jpg,none,none,0.0,No fire signals detected in the image.,817.7,263.6,386.2,1201,47,121.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00320.jpg,none,none,0.0,No fire signals detected in the image.,806.7,264.9,352.0,1201,47,133.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00325.jpg,none,none,0.0,No fire signals detected in the image.,815.7,265.5,326.9,1201,47,143.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00328.jpg,none,none,0.0,No fire signals detected in the image.,821.4,268.9,349.5,1201,47,134.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00350.jpg,none,none,0.0,No fire signals detected in the image.,816.1,266.8,400.7,1201,47,117.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00351.jpg,none,none,0.0,No fire signals detected in the image.,823.9,270.3,336.6,1201,47,139.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00356.jpg,none,none,0.0,The image provided does not show any clear signs of fire or smoke.,881.0,266.2,413.2,1201,53,128.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00357.jpg,none,none,0.0,No fire signals detected in the image.,820.6,258.9,312.1,1201,47,150.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00358.jpg,none,none,0.0,No fire signals detected in the image.,830.8,270.6,449.5,1201,47,104.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00363.jpg,none,none,0.0,No fire signals detected in the image.,826.4,270.4,380.6,1201,47,123.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00364.jpg,none,none,0.0,No fire signals detected in the image.,819.7,264.4,386.7,1201,47,121.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00369.jpg,none,none,0.0,No fire signals detected in the image.,814.1,267.2,392.8,1201,47,119.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00371.jpg,none,none,0.0,No fire signals detected in the image.,817.1,268.3,386.7,1201,47,121.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00394.jpg,none,none,0.0,No fire signals detected in the image.,813.2,266.0,355.9,1201,47,132.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00395.jpg,none,none,0.0,No fire signals detected in the image.,816.1,249.8,384.9,1201,47,122.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00403.jpg,none,none,0.0,No fire signals detected in the image.,805.1,267.8,372.1,1201,47,126.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00415.jpg,none,none,0.0,No fire signals detected in the image.,828.6,259.7,351.5,1201,47,133.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00422.jpg,none,none,0.0,No fire signals detected in the image.,809.3,262.5,384.4,1201,47,122.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00432.jpg,none,none,0.0,No fire signals detected in the image.,812.0,262.2,378.4,1201,47,124.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00441.jpg,none,none,0.0,No fire signals detected in the image.,815.1,268.4,386.8,1201,47,121.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00446.jpg,none,none,0.0,No fire signals detected in the image.,815.4,263.9,398.5,1201,47,117.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00457.jpg,none,none,0.0,No fire signals detected in the image.,823.4,267.0,364.0,1201,47,129.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00460.jpg,none,none,0.0,No fire signals detected in the image.,815.7,267.4,378.8,1201,47,124.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00465.jpg,none,none,0.0,No fire signals detected in the image.,820.5,269.8,368.4,1201,47,127.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00472.jpg,none,none,0.0,The image provided does not show any clear signs of fire or smoke.,880.9,264.1,438.2,1201,53,120.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00473.jpg,none,none,0.0,No fire signals detected in the image.,814.1,265.8,366.8,1201,47,128.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00483.jpg,none,none,0.0,No fire signals detected in the image.,817.4,260.6,337.6,1201,47,139.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00488.jpg,none,none,0.0,No fire signals detected in the image.,820.3,261.8,347.3,1201,47,135.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00490.jpg,none,none,0.0,No visible fire signals in the image.,815.0,265.9,375.9,1201,47,125.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00494.jpg,none,none,0.0,The image provided does not contain any clear indications of fire or smoke.,887.6,265.7,427.7,1201,54,126.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00499.jpg,none,none,0.0,No fire signals detected in the image.,824.9,271.2,422.3,1201,47,111.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00502.jpg,none,none,0.0,No fire signals detected in the image.,817.2,266.7,470.5,1201,47,99.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00507.jpg,none,none,0.0,No fire signals detected in the image.,819.7,263.1,348.0,1201,47,135.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00511.jpg,none,none,0.0,No fire signals detected in the image.,822.4,262.4,398.2,1201,47,118.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00514.jpg,none,none,0.0,No fire signals detected in the image.,820.4,265.4,359.1,1201,47,130.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00515.jpg,none,none,0.0,No fire signals detected in the image.,813.3,270.0,372.4,1201,47,126.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00516.jpg,none,none,0.0,No fire signals detected in the image.,814.5,261.4,371.5,1201,47,126.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00527.jpg,none,none,0.0,No fire signals detected in the image.,819.9,258.2,375.0,1201,47,125.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00535.jpg,none,none,0.0,No fire signals detected in the image.,810.2,268.1,331.7,1201,47,141.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00542.jpg,none,none,0.0,No fire signals detected in the image.,814.8,265.3,408.5,1201,47,115.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00543.jpg,none,none,0.0,No fire signals detected in the image.,813.2,250.9,336.5,1201,47,139.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00544.jpg,none,none,0.0,No visible fire signals in the image.,813.3,268.0,372.4,1201,47,126.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00551.jpg,none,none,0.0,No fire signals detected in the image.,814.5,268.3,386.9,1201,47,121.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00553.jpg,none,none,0.0,No fire signals detected in the image.,827.7,270.9,421.0,1201,47,111.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00561.jpg,none,none,0.0,No fire signals detected in the image.,813.4,267.2,350.3,1201,47,134.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00569.jpg,none,none,0.0,No fire signals detected in the image.,816.2,262.9,392.0,1201,47,119.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00577.jpg,none,none,0.0,No fire signals detected in the image.,805.2,262.5,343.9,1201,47,136.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00580.jpg,none,none,0.0,No fire signals detected in the image.,819.6,260.9,361.9,1201,47,129.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00581.jpg,none,none,0.0,No fire signals detected in the image.,820.7,267.1,384.7,1201,47,122.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00588.jpg,none,none,0.0,No fire signals detected in the image.,819.5,272.1,372.8,1201,47,126.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00591.jpg,none,none,0.0,No fire signals detected in the image.,819.7,269.3,395.1,1201,47,118.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00598.jpg,none,none,0.0,No fire signals detected in the image.,821.5,268.2,339.3,1201,47,138.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00606.jpg,none,none,0.0,No fire signals detected in the image.,816.0,268.5,395.6,1201,47,118.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00608.jpg,none,none,0.0,No fire signals detected in the image.,819.8,261.5,414.2,1201,47,113.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00625.jpg,none,none,0.0,The image provided is too blurry and lacks clear visual cues to confidently identify any fire signals.,958.9,264.1,458.1,1201,61,133.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00629.jpg,none,none,0.0,No fire signals detected in the image.,816.7,269.8,369.4,1201,47,127.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00631.jpg,none,none,0.0,No fire signals detected in the image.,813.9,264.6,353.2,1201,47,133.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00632.jpg,none,none,0.0,No fire or smoke signals detected in the image.,832.8,256.8,354.4,1201,49,138.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00642.jpg,none,none,0.0,No fire signals detected in the image.,814.5,265.8,349.0,1201,47,134.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00656.jpg,none,none,0.0,No fire signals detected in the image.,815.9,268.3,355.0,1201,47,132.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00659.jpg,none,none,0.0,No fire signals detected in the image.,819.3,263.5,386.6,1201,47,121.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00672.jpg,none,none,0.0,The image provided is too blurry and lacks clear visual cues to confidently identify any fire signals.,961.6,267.4,500.4,1201,61,121.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00678.jpg,none,none,0.0,No fire signals detected in the image.,820.6,269.1,352.4,1201,47,133.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00695.jpg,none,none,0.0,No fire signals detected in the image.,815.7,265.7,363.6,1201,47,129.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00700.jpg,none,none,0.0,No clear signs of fire or smoke in the image.,840.7,266.7,404.0,1201,50,123.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00701.jpg,none,none,0.0,No fire signals detected in the image.,820.1,269.2,338.4,1201,47,138.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00707.jpg,none,none,0.0,No visible fire signals in the image.,822.9,269.1,370.5,1201,47,126.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00708.jpg,none,none,0.0,No fire signals detected in the image.,810.1,268.4,348.5,1201,47,134.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00723.jpg,none,none,0.0,No fire signals detected in the image.,813.9,259.5,334.9,1201,47,140.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00724.jpg,none,none,0.0,No fire signals detected in the image.,818.5,268.9,366.9,1201,47,128.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00726.jpg,none,none,0.0,No fire signals detected in the image.,827.8,259.4,333.7,1201,47,140.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00731.jpg,none,none,0.0,No fire signals detected in the image.,819.7,268.0,329.9,1201,47,142.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00735.jpg,none,none,0.0,No fire signals detected in the image.,821.6,271.4,355.4,1201,47,132.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00747.jpg,none,none,0.0,No fire signals detected in the image.,823.4,265.4,376.1,1201,47,125.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00748.jpg,none,none,0.0,No fire signals detected in the image.,820.1,272.3,374.5,1201,47,125.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00749.jpg,none,none,0.0,No fire signals detected in the image.,820.9,269.6,390.6,1201,47,120.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00754.jpg,none,none,0.0,No fire signals detected in the image.,815.3,267.6,378.1,1201,47,124.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00761.jpg,none,none,0.0,No fire signals detected in the image.,817.9,262.6,355.5,1201,47,132.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00768.jpg,none,none,0.0,No fire signals detected in the image.,819.2,267.8,372.7,1201,47,126.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00776.jpg,none,none,0.0,No fire signals detected in the image.,816.2,264.6,396.7,1201,47,118.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00784.jpg,none,none,0.0,No fire signals detected in the image.,816.7,269.3,375.2,1201,47,125.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00787.jpg,none,none,0.0,No fire signals detected in the image.,815.3,266.9,365.1,1201,47,128.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00788.jpg,none,none,0.0,No fire signals detected in the image.,813.5,257.5,400.6,1201,47,117.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00804.jpg,none,none,0.0,No fire signals detected in the image.,800.0,264.3,398.4,1201,47,118.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00822.jpg,none,none,0.0,No fire signals detected in the image.,812.6,268.2,386.2,1201,47,121.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00824.jpg,none,none,0.0,No fire signals detected in the image.,815.6,268.7,331.8,1201,47,141.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00830.jpg,none,none,0.0,No fire signals detected in the image.,814.5,268.5,410.4,1201,47,114.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00835.jpg,none,none,0.0,No fire signals detected in the image.,816.8,268.4,360.9,1201,47,130.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00836.jpg,none,none,0.0,No fire signals detected in the image.,813.8,253.9,361.7,1201,47,130.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00837.jpg,none,none,0.0,No fire signals detected in the image.,816.9,270.0,402.4,1201,47,116.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00847.jpg,none,none,0.0,No fire signals detected in the image.,814.5,267.9,419.0,1201,47,112.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00850.jpg,none,none,0.0,No fire signals detected in the image.,816.1,254.6,385.8,1201,47,121.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00851.jpg,none,none,0.0,No fire signals detected in the image.,815.4,269.1,380.6,1201,47,123.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00855.jpg,none,none,0.0,No fire signals detected in the image.,814.8,269.7,358.6,1201,47,131.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00856.jpg,none,none,0.0,No fire signals detected in the image.,817.0,266.9,403.5,1201,47,116.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00857.jpg,none,none,0.0,No visible fire signals in the image.,812.5,266.3,409.1,1201,47,114.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00859.jpg,none,none,0.0,No fire signals detected in the image.,812.7,268.7,392.3,1201,47,119.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00889.jpg,none,none,0.0,No fire signals detected in the image.,814.9,263.6,370.9,1201,47,126.7
